"ZIP","offCat"
"10035","MISDEMEANOR"
"10039","VIOLATION"
"11221","MISDEMEANOR"
"11226","MISDEMEANOR"
"11234","MISDEMEANOR"
"11434","FELONY"
"10013","MISDEMEANOR"
"00083","MISDEMEANOR"
"10034","VIOLATION"
"11429","MISDEMEANOR"
"11233","FELONY"
"10458","MISDEMEANOR"
"10022","MISDEMEANOR"
"11233","MISDEMEANOR"
"10458","MISDEMEANOR"
"11249","MISDEMEANOR"
"10037","MISDEMEANOR"
"10451","FELONY"
"11224","MISDEMEANOR"
"11203","MISDEMEANOR"
"11216","MISDEMEANOR"
"11365","MISDEMEANOR"
"11233","MISDEMEANOR"
"11238","MISDEMEANOR"
"11234","MISDEMEANOR"
"11233","FELONY"
"11209","FELONY"
"11238","MISDEMEANOR"
"11433","VIOLATION"
"10463","MISDEMEANOR"
"11373","MISDEMEANOR"
